,ts_code,symbol,name,area,industry,fullname,market,list_date,delist_date
2969,600535.SH,600535,天士力,天津,中成药,天士力医药集团股份有限公司,主板,20020823,
2970,600536.SH,600536,中国软件,北京,软件服务,中国软件与技术服务股份有限公司,主板,20020517,
2971,600537.SH,600537,亿晶光电,浙江,电气设备,亿晶光电科技股份有限公司,主板,20030123,
2972,600538.SH,600538,国发股份,广西,医药商业,北海国发川山生物股份有限公司,主板,20030114,
2973,600539.SH,600539,狮头股份,山西,互联网,太原狮头水泥股份有限公司,主板,20010824,
2974,600540.SH,600540,新赛股份,新疆,种植业,新疆赛里木现代农业股份有限公司,主板,20040107,
2975,600543.SH,600543,莫高股份,甘肃,红黄酒,甘肃莫高实业发展股份有限公司,主板,20040324,
2976,600545.SH,600545,卓郎智能,新疆,纺织机械,卓郎智能技术股份有限公司,主板,20031203,
2977,600546.SH,600546,山煤国际,山西,煤炭开采,山煤国际能源集团股份有限公司,主板,20030731,
2978,600547.SH,600547,山东黄金,山东,黄金,山东黄金矿业股份有限公司,主板,20030828,
2979,600548.SH,600548,深高速,深圳,路桥,深圳高速公路股份有限公司,主板,20011225,
2980,600549.SH,600549,厦门钨业,福建,小金属,厦门钨业股份有限公司,主板,20021107,
2981,600550.SH,600550,保变电气,河北,电气设备,保定天威保变电气股份有限公司,主板,20010228,
2982,600551.SH,600551,时代出版,安徽,出版业,时代出版传媒股份有限公司,主板,20020905,
2983,600552.SH,600552,凯盛科技,安徽,玻璃,凯盛科技股份有限公司,主板,20021108,
2984,600555.SH,600555,*ST海创,海南,旅游服务,海航创新股份有限公司,主板,20010328,
2985,600556.SH,600556,天下秀,广西,互联网,天下秀数字科技(集团)股份有限公司,主板,20010807,
2986,600557.SH,600557,康缘药业,江苏,中成药,江苏康缘药业股份有限公司,主板,20020918,
2987,600558.SH,600558,大西洋,四川,钢加工,四川大西洋焊接材料股份有限公司,主板,20010227,
2988,600559.SH,600559,老白干酒,河北,白酒,河北衡水老白干酒业股份有限公司,主板,20021029,
2989,600560.SH,600560,金自天正,北京,电气设备,北京金自天正智能控制股份有限公司,主板,20020919,
2990,600561.SH,600561,江西长运,江西,公共交通,江西长运股份有限公司,主板,20020716,
2991,600562.SH,600562,国睿科技,江苏,通信设备,国睿科技股份有限公司,主板,20030128,
2992,600563.SH,600563,法拉电子,福建,元器件,厦门法拉电子股份有限公司,主板,20021210,
2993,600565.SH,600565,迪马股份,重庆,全国地产,重庆市迪马实业股份有限公司,主板,20020723,
2994,600566.SH,600566,济川药业,湖北,中成药,湖北济川药业股份有限公司,主板,20010822,
2995,600567.SH,600567,山鹰国际,安徽,造纸,山鹰国际控股股份公司,主板,20011218,
2996,600568.SH,600568,ST中珠,湖北,区域地产,中珠医疗控股股份有限公司,主板,20010518,
2997,600569.SH,600569,安阳钢铁,河南,普钢,安阳钢铁股份有限公司,主板,20010820,
2998,600570.SH,600570,恒生电子,浙江,软件服务,恒生电子股份有限公司,主板,20031216,
2999,600571.SH,600571,信雅达,浙江,软件服务,信雅达科技股份有限公司,主板,20021101,
3000,600572.SH,600572,康恩贝,浙江,中成药,浙江康恩贝制药股份有限公司,主板,20040412,
3001,600573.SH,600573,惠泉啤酒,福建,啤酒,福建省燕京惠泉啤酒股份有限公司,主板,20030226,
3002,600575.SH,600575,淮河能源,安徽,铁路,淮河能源(集团)股份有限公司,主板,20030328,
3003,600576.SH,600576,祥源文化,浙江,影视音像,浙江祥源文化股份有限公司,主板,20030220,
3004,600577.SH,600577,精达股份,安徽,电气设备,铜陵精达特种电磁线股份有限公司,主板,20020911,
3005,600578.SH,600578,京能电力,北京,火力发电,北京京能电力股份有限公司,主板,20020510,
3006,600579.SH,600579,克劳斯,山东,化工机械,克劳斯玛菲股份有限公司,主板,20020809,
3007,600580.SH,600580,卧龙电驱,浙江,电气设备,卧龙电气驱动集团股份有限公司,主板,20020606,
3008,600581.SH,600581,八一钢铁,新疆,普钢,新疆八一钢铁股份有限公司,主板,20020816,
3009,600582.SH,600582,天地科技,北京,工程机械,天地科技股份有限公司,主板,20020515,
3010,600583.SH,600583,海油工程,天津,石油开采,海洋石油工程股份有限公司,主板,20020205,
3011,600584.SH,600584,长电科技,江苏,半导体,江苏长电科技股份有限公司,主板,20030603,
3012,600585.SH,600585,海螺水泥,安徽,水泥,安徽海螺水泥股份有限公司,主板,20020207,
3013,600586.SH,600586,金晶科技,山东,玻璃,山东金晶科技股份有限公司,主板,20020815,
3014,600587.SH,600587,新华医疗,山东,医疗保健,山东新华医疗器械股份有限公司,主板,20020927,
3015,600588.SH,600588,用友网络,北京,软件服务,用友网络科技股份有限公司,主板,20010518,
3016,600589.SH,600589,ST榕泰,广东,塑料,广东榕泰实业股份有限公司,主板,20010612,
3017,600590.SH,600590,泰豪科技,江西,电气设备,泰豪科技股份有限公司,主板,20020703,
3018,600592.SH,600592,龙溪股份,福建,机械基件,福建龙溪轴承(集团)股份有限公司,主板,20020805,
3019,600593.SH,600593,*ST圣亚,辽宁,旅游服务,大连圣亚旅游控股股份有限公司,主板,20020711,
3020,600594.SH,600594,益佰制药,贵州,中成药,贵州益佰制药股份有限公司,主板,20040323,
3021,600595.SH,600595,*ST中孚,河南,铝,河南中孚实业股份有限公司,主板,20020626,
3022,600596.SH,600596,新安股份,浙江,化工原料,浙江新安化工集团股份有限公司,主板,20010906,
3023,600597.SH,600597,光明乳业,上海,乳制品,光明乳业股份有限公司,主板,20020828,
3024,600598.SH,600598,北大荒,黑龙江,种植业,黑龙江北大荒农业股份有限公司,主板,20020329,
3025,600599.SH,600599,ST熊猫,湖南,多元金融,熊猫金控股份有限公司,主板,20010828,
3026,600600.SH,600600,青岛啤酒,山东,啤酒,青岛啤酒股份有限公司,主板,19930827,
3027,600601.SH,600601,ST方科,上海,IT设备,方正科技集团股份有限公司,主板,19901219,
3028,600602.SH,600602,云赛智联,上海,软件服务,云赛智联股份有限公司,主板,19901219,
3029,600603.SH,600603,广汇物流,四川,仓储物流,广汇物流股份有限公司,主板,19920113,
3030,600604.SH,600604,市北高新,上海,园区开发,上海市北高新股份有限公司,主板,19920327,
3031,600605.SH,600605,汇通能源,上海,房产服务,上海汇通能源股份有限公司,主板,19920327,
3032,600606.SH,600606,绿地控股,上海,建筑工程,绿地控股集团股份有限公司,主板,19920327,
3033,600608.SH,600608,ST沪科,上海,商贸代理,上海宽频科技股份有限公司,主板,19920327,
3034,600609.SH,600609,金杯汽车,辽宁,汽车配件,金杯汽车股份有限公司,主板,19920724,
3035,600610.SH,600610,中毅达,上海,化工原料,上海中毅达股份有限公司,主板,19920805,
3036,600611.SH,600611,大众交通,上海,公共交通,大众交通(集团)股份有限公司,主板,19920807,
3037,600612.SH,600612,老凤祥,上海,服饰,老凤祥股份有限公司,主板,19920814,
3038,600613.SH,600613,神奇制药,上海,中成药,上海神奇制药投资管理股份有限公司,主板,19920820,
3039,600615.SH,600615,*ST丰华,上海,小金属,上海丰华(集团)股份有限公司,主板,19920910,
3040,600616.SH,600616,金枫酒业,上海,红黄酒,上海金枫酒业股份有限公司,主板,19920929,
3041,600617.SH,600617,国新能源,山西,供气供热,山西省国新能源股份有限公司,主板,19921013,
3042,600618.SH,600618,氯碱化工,上海,化工原料,上海氯碱化工股份有限公司,主板,19921113,
3043,600619.SH,600619,海立股份,上海,家用电器,上海海立(集团)股份有限公司,主板,19921116,
3044,600620.SH,600620,天宸股份,上海,综合类,上海市天宸股份有限公司,主板,19921117,
3045,600621.SH,600621,华鑫股份,上海,证券,上海华鑫股份有限公司,主板,19921202,
3046,600622.SH,600622,光大嘉宝,上海,区域地产,光大嘉宝股份有限公司,主板,19921203,
3047,600623.SH,600623,华谊集团,上海,汽车配件,上海华谊集团股份有限公司,主板,19921204,
3048,600624.SH,600624,复旦复华,上海,化学制药,上海复旦复华科技股份有限公司,主板,19930105,
3049,600626.SH,600626,申达股份,上海,汽车配件,上海申达股份有限公司,主板,19930107,
3050,600628.SH,600628,新世界,上海,百货,上海新世界股份有限公司,主板,19930119,
3051,600629.SH,600629,华建集团,上海,建筑工程,华东建筑集团股份有限公司,主板,19930209,
3052,600630.SH,600630,龙头股份,上海,纺织,上海龙头(集团)股份有限公司,主板,19930209,
3053,600633.SH,600633,浙数文化,浙江,互联网,浙报数字文化集团股份有限公司,主板,19930304,
3054,600635.SH,600635,大众公用,上海,供气供热,上海大众公用事业(集团)股份有限公司,主板,19930304,
3055,600636.SH,600636,国新文化,上海,文教休闲,国新文化控股股份有限公司,主板,19930316,
3056,600637.SH,600637,东方明珠,上海,影视音像,东方明珠新媒体股份有限公司,主板,19930316,
3057,600638.SH,600638,新黄浦,上海,区域地产,上海新黄浦实业集团股份有限公司,主板,19930326,
3058,600639.SH,600639,浦东金桥,上海,园区开发,上海金桥出口加工区开发股份有限公司,主板,19930326,
3059,600640.SH,600640,新国脉,上海,影视音像,新国脉数字文化股份有限公司,主板,19930407,
3060,600641.SH,600641,万业企业,上海,区域地产,上海万业企业股份有限公司,主板,19930407,
3061,600642.SH,600642,申能股份,上海,火力发电,申能股份有限公司,主板,19930416,
3062,600643.SH,600643,爱建集团,上海,多元金融,上海爱建集团股份有限公司,主板,19930426,
3063,600644.SH,600644,乐山电力,四川,水力发电,乐山电力股份有限公司,主板,19930426,
3064,600645.SH,600645,中源协和,天津,生物制药,中源协和细胞基因工程股份有限公司,主板,19930504,
3065,600647.SH,600647,同达创业,上海,综合类,上海同达创业投资股份有限公司,主板,19930504,
